Date,HH,MM,SS,Frame ID
22-11-23,18,19,52,Frame_0.jpg
22-11-23,18,19,55,Frame_1.jpg
22-11-23,18,19,58,Frame_2.jpg
22-11-23,18,20,01,Frame_3.jpg
22-11-23,18,20,04,Frame_4.jpg
22-11-23,18,20,07,Frame_5.jpg
22-11-23,18,20,10,Frame_6.jpg
22-11-23,18,20,13,Frame_7.jpg
22-11-23,18,20,16,Frame_8.jpg
22-11-23,18,20,19,Frame_9.jpg
22-11-23,18,20,22,Frame_10.jpg
22-11-23,18,20,25,Frame_11.jpg
22-11-23,18,20,28,Frame_12.jpg
22-11-23,18,21,10,Frame_13.jpg
22-11-23,18,21,13,Frame_14.jpg
22-11-23,18,21,16,Frame_15.jpg
22-11-23,18,21,19,Frame_16.jpg
22-11-23,18,21,22,Frame_17.jpg
22-11-23,18,21,25,Frame_18.jpg
22-11-23,18,29,31,Frame_20.jpg
22-11-23,18,29,34,Frame_21.jpg
22-11-23,18,29,37,Frame_22.jpg
22-11-23,18,29,40,Frame_23.jpg
22-11-23,18,29,43,Frame_24.jpg
22-11-23,18,29,46,Frame_25.jpg
22-11-23,18,29,49,Frame_26.jpg
22-11-23,18,29,52,Frame_27.jpg
22-11-23,18,29,55,Frame_28.jpg
22-11-23,18,29,58,Frame_29.jpg
22-11-23,18,30,01,Frame_30.jpg
22-11-23,18,30,04,Frame_31.jpg
22-11-23,18,30,07,Frame_32.jpg
22-11-23,18,30,10,Frame_33.jpg
22-11-23,18,30,13,Frame_34.jpg
22-11-23,18,30,16,Frame_35.jpg
22-11-23,18,30,19,Frame_36.jpg
22-11-23,18,30,22,Frame_37.jpg
22-11-23,18,30,25,Frame_38.jpg
22-11-23,18,30,28,Frame_39.jpg
22-11-23,18,32,57,Frame_40.jpg
22-11-23,18,33,00,Frame_41.jpg
22-11-23,18,33,03,Frame_42.jpg
22-11-23,18,33,06,Frame_43.jpg
22-11-23,18,33,09,Frame_44.jpg
22-11-23,18,33,12,Frame_45.jpg
22-11-23,18,35,46,Frame_47.jpg
22-11-23,18,35,49,Frame_48.jpg
22-11-23,18,35,52,Frame_49.jpg
22-11-23,18,35,55,Frame_50.jpg
22-11-23,18,35,58,Frame_51.jpg
22-11-23,18,36,01,Frame_52.jpg
22-11-23,18,36,04,Frame_53.jpg
22-11-23,18,36,07,Frame_54.jpg
22-11-23,18,36,10,Frame_55.jpg
22-11-23,18,36,13,Frame_56.jpg
22-11-23,18,36,21,Frame_57.jpg
22-11-23,18,36,24,Frame_58.jpg
22-11-23,18,36,27,Frame_59.jpg
22-11-23,18,36,30,Frame_60.jpg
22-11-23,18,36,33,Frame_61.jpg
22-11-23,18,36,36,Frame_62.jpg
22-11-23,18,36,50,Frame_64.jpg
22-11-23,18,36,53,Frame_65.jpg
22-11-23,18,36,56,Frame_66.jpg
22-11-23,18,36,59,Frame_67.jpg
22-11-23,18,37,02,Frame_68.jpg
22-11-23,18,37,05,Frame_69.jpg
22-11-23,18,37,08,Frame_70.jpg
22-11-23,18,37,11,Frame_71.jpg
22-11-23,18,37,14,Frame_72.jpg
22-11-23,18,37,17,Frame_73.jpg
22-11-23,18,37,44,Frame_74.jpg
22-11-23,18,37,47,Frame_75.jpg
22-11-23,18,37,50,Frame_76.jpg
22-11-23,18,38,08,Frame_77.jpg
22-11-23,18,39,15,Frame_78.jpg
22-11-23,18,39,18,Frame_79.jpg
22-11-23,18,39,21,Frame_80.jpg
22-11-23,18,39,24,Frame_81.jpg
22-11-23,18,39,27,Frame_82.jpg
22-11-23,18,39,30,Frame_83.jpg
22-11-23,18,39,33,Frame_84.jpg
22-11-23,18,39,36,Frame_85.jpg
22-11-23,18,39,39,Frame_86.jpg
22-11-23,18,39,42,Frame_87.jpg
22-11-23,18,40,00,Frame_88.jpg
22-11-23,18,40,03,Frame_89.jpg
22-11-23,18,40,06,Frame_90.jpg
22-11-23,18,40,09,Frame_91.jpg
22-11-23,18,40,12,Frame_92.jpg
22-11-23,18,40,15,Frame_93.jpg
22-11-23,18,40,18,Frame_94.jpg
22-11-23,18,40,21,Frame_95.jpg
22-11-23,18,40,24,Frame_96.jpg
22-11-23,18,40,27,Frame_97.jpg
22-11-23,18,42,45,Frame_98.jpg
22-11-23,18,42,48,Frame_99.jpg
22-11-23,18,42,51,Frame_100.jpg
22-11-23,18,42,54,Frame_101.jpg
22-11-23,18,42,57,Frame_102.jpg
22-11-23,18,43,00,Frame_103.jpg
22-11-23,18,43,03,Frame_104.jpg
22-11-23,18,43,06,Frame_105.jpg
22-11-23,18,43,09,Frame_106.jpg
22-11-23,18,43,12,Frame_107.jpg
22-11-23,18,44,11,Frame_108.jpg
22-11-23,18,44,14,Frame_109.jpg
22-11-23,18,44,17,Frame_110.jpg
22-11-23,18,44,20,Frame_111.jpg
22-11-23,18,44,23,Frame_112.jpg
22-11-23,18,44,26,Frame_113.jpg
22-11-23,18,44,29,Frame_114.jpg
22-11-23,18,44,32,Frame_115.jpg
22-11-23,18,44,35,Frame_116.jpg
22-11-23,18,44,38,Frame_117.jpg
